timestamp,active_sessions,new_sessions,ended_sessions
2026-09-15 16:53:25,1,0,0
2026-09-15 16:53:30,1,0,0
2026-09-15 16:53:35,1,0,0
2026-09-15 16:53:40,1,0,0
2026-09-15 16:53:45,1,0,0
2026-09-15 16:53:50,1,0,0
2026-09-15 16:53:55,1,0,0
2026-09-15 16:54:00,1,0,0
2026-09-15 16:54:05,1,0,0
2026-09-15 16:54:10,1,0,0
2026-09-15 16:54:15,1,0,0
2026-09-15 16:54:20,1,0,0
2026-09-15 16:54:25,1,0,0
2026-09-15 16:54:30,1,0,0
2026-09-15 16:54:35,1,0,0
2026-09-15 16:54:40,1,0,0
2026-09-15 16:54:45,1,0,0
2026-09-15 16:54:50,1,0,0
2026-09-15 16:54:55,1,0,0
2026-09-15 16:55:00,1,0,0
2026-09-15 16:55:05,1,0,0
2026-09-15 16:55:10,1,0,0
2026-09-15 16:55:15,1,0,0
2026-09-15 16:55:20,1,0,0
2026-09-15 16:55:25,1,0,0
2026-09-15 16:55:30,1,0,0
2026-09-15 16:55:35,1,0,0
2026-09-15 16:55:40,1,0,0
2026-09-15 16:55:45,1,0,0
2026-09-15 16:55:50,1,0,0
2026-09-15 16:55:55,1,0,0
2026-09-15 16:56:00,1,0,0
2026-09-15 16:56:05,1,0,0
2026-09-15 16:56:10,1,0,0
2026-09-15 16:56:15,1,0,0
2026-09-15 16:56:20,1,0,0
2026-09-15 16:56:25,1,0,0
2026-09-15 16:56:30,1,0,0
2026-09-15 16:56:35,1,0,0
2026-09-15 16:56:40,1,0,0
2026-09-15 16:56:45,1,0,0
2026-09-15 16:56:50,1,0,0
2026-09-15 16:56:55,1,0,0
2026-09-15 16:57:00,1,0,0
2026-09-15 16:57:05,1,0,0
2026-09-16 10:03:53,1,1,0
2026-09-16 10:03:58,1,0,0
2026-09-16 10:04:03,1,0,0
2026-09-16 10:04:08,1,0,0
2026-09-16 10:04:13,1,0,0
2026-09-16 10:04:18,1,0,0
2026-09-16 10:04:23,1,0,0
2026-09-16 10:04:28,1,0,0
2026-09-16 10:04:33,1,0,0
2026-09-16 10:04:38,1,0,0
2026-09-16 10:04:43,1,0,0
2026-09-16 10:04:48,1,0,0
2026-09-16 10:04:53,1,0,0
2026-09-16 10:04:58,1,0,0
2026-09-16 10:05:03,1,0,0
2026-09-16 10:05:08,1,0,0
2026-09-16 10:05:13,1,0,0
2026-09-16 10:05:18,1,0,0
2026-09-16 10:05:23,1,0,0
2026-09-16 10:05:28,1,0,0
2026-09-16 10:05:33,1,0,0
2026-09-16 10:05:38,1,0,0
2026-09-16 10:05:43,1,0,0
2026-09-16 10:05:48,1,0,0
2026-09-16 10:05:53,1,0,0
2026-09-16 10:05:58,1,0,0
2026-09-16 10:06:03,1,0,0
2026-09-16 10:06:08,1,0,0
2026-09-16 10:06:13,1,0,0
2026-09-16 10:06:18,1,0,0
2026-09-16 10:06:23,1,0,0
2026-09-16 10:06:28,1,0,0
2026-09-16 10:06:33,1,0,0
2026-09-16 10:06:38,1,0,0
2026-09-16 10:06:43,1,0,0
2026-09-16 10:06:48,1,0,0
2026-09-16 10:06:53,1,0,0
2026-09-16 10:06:58,1,0,0
2026-09-16 10:07:03,1,0,0
2026-09-16 10:07:08,1,0,0
2026-09-16 10:07:13,1,0,0
2026-09-16 10:07:18,1,0,0
2026-09-16 10:07:23,1,0,0
2026-09-16 10:07:28,1,0,0
2026-09-16 10:07:33,1,0,0
2026-09-16 10:07:38,1,0,0
2026-09-16 10:07:43,1,0,0
2026-09-16 10:07:48,1,0,0
2026-09-16 10:07:53,1,0,0
2026-09-16 10:07:58,1,0,0
2026-09-16 10:08:03,1,0,0
2026-09-16 10:08:08,1,0,0
2026-09-16 10:08:13,1,0,0
2026-09-16 10:08:18,1,0,0
2026-09-16 10:08:23,1,0,0
2026-09-16 10:08:28,1,0,0
2026-09-16 10:08:33,1,0,0
2026-09-16 10:08:38,1,0,0
2026-09-16 10:08:43,1,0,0
2026-09-16 10:08:48,1,0,0
2026-09-16 10:08:53,1,0,0
2026-09-16 10:08:58,1,0,0
2026-09-16 10:09:03,1,0,0
2026-09-16 10:09:08,1,0,0
2026-09-16 10:09:13,1,0,0
2026-09-16 10:09:18,1,0,0
2026-09-16 10:09:23,1,0,0
2026-09-16 10:09:28,1,0,0
2026-09-16 10:09:33,1,0,0
2026-09-16 10:09:38,1,0,0
2026-09-16 10:09:43,1,0,0
2026-09-16 10:09:48,1,0,0
2026-09-16 10:09:53,1,0,0
2026-09-16 10:09:58,1,0,0
2026-09-16 10:10:03,1,0,0
2026-09-16 10:10:08,1,0,0
2026-09-16 10:10:13,1,0,0
2026-09-16 10:10:18,1,0,0
2026-09-16 10:10:24,1,0,0
2026-09-16 10:10:29,1,0,0
2026-09-16 10:10:34,1,0,0
2026-09-16 10:10:39,1,0,0
2026-09-16 10:10:44,1,0,0
2026-09-16 10:10:49,1,0,0
2026-09-16 10:10:54,1,0,0
2026-09-16 10:10:59,1,0,0
2026-09-16 10:11:04,1,0,0
2026-09-16 10:11:09,1,0,0
2026-09-16 10:11:14,1,0,0
2026-09-16 10:11:19,1,0,0
2026-09-16 10:11:24,1,0,0
2026-09-16 10:11:29,1,0,0
2026-09-16 10:11:34,1,0,0
2026-09-16 10:11:39,1,0,0
2026-09-16 10:11:44,1,0,0
2026-09-16 10:11:49,1,0,0
2026-09-16 10:11:54,1,0,0
2026-09-16 10:11:59,1,0,0
2026-09-16 10:12:04,1,0,0
2026-09-16 10:12:09,1,0,0
2026-09-16 10:12:14,1,0,0
2026-09-16 10:12:19,1,0,0
2026-09-16 10:12:24,1,0,0
2026-09-16 10:12:29,1,0,0
2026-09-16 10:12:34,1,0,0
2026-09-16 10:12:39,1,0,0
2026-09-16 10:12:44,1,0,0
2026-09-16 10:12:49,1,0,0
2026-09-16 10:12:54,1,0,0
2026-09-16 10:12:59,1,0,0
2026-09-16 10:13:04,1,0,0
2026-09-16 10:13:09,1,0,0
2026-09-16 10:13:14,1,0,0
2026-09-16 10:13:19,1,0,0
2026-09-16 10:13:24,1,0,0
2026-09-16 10:13:29,1,0,0
2026-09-16 10:13:34,1,0,0
2026-09-16 10:13:39,1,0,0
2026-09-16 10:13:44,1,0,0
2026-09-16 10:13:49,1,0,0
